Able, Ŝïk
About, Ĉay
Above, Us
After, Plèt
Again, Mït
Against, Kuŋk
Alive, Salèk
All (full), Tsak
already, Kanïa
Also, ïsk
Amount, Sanèk
And, Na
Animal, Akïust
Arrive, Ŝast
As, Tsu
Bad, Blït
Bark, Tsausk
Because, Kö
Bendy, Čèt
Between, Plïnït
Bird, Tsaŝït
Black, Pïŝït
Blind, köblèt
Border, Ïðön
Birth, Aktun
Boy, Sïnït
Branches, Putat
Bread, Kalun
Bring (bring forth), Kalkak
But, Čat
Buy, Suïk
By, Èt
call, Mïŝ
Can (able), Su
Can (allowed), Tsèt
Celebrate, Ðaŝïŋk
Child, Plakïm
City, Tsèpaŋk
Clothes, Lak
Cook, Ŝïpöst
Confuse, èskèŝ
Country, Dèkaŋ
Create, Ïtuŋ
Credit, Balag
Cut, Mat
Danger, Göbal
Darkness, Ŝasïk
Daughter, Mïtal
Day, Ĉaskat
Deaf, Bèlkït
Decide, Staka
Destroy, Skupö
Die, Mèlkö
different, Lïĉö
Difficult, Sïnuat
Disease, Tsukuŋk
Do, kluska
Door, èþïn
Down, Ŝïkauð
Dream, Kèðaŝa
Drink, Saz
Eat, Pèþèt
Easy, Tsukaŝ
Ear, mïlk
early, Akasït
Eclipse, Kasak
Exact, Pastïn
Except, Ŝïgö
Eye, köl
Face, Muk
Family, Nuskat
Father, Azuk
feel, Lïsta
few, Köpö
Find, Kulö
Finish, Lubö
Fire, Ŝölïg
Fish, Uŝö
Fog/Mist, Puŝït
Food, Akanïŝ
For, Ïkès
Foreigner, Tsusk
Forest, Tsapïŋkö
Forever, Pèlat
Fort, Ksè
Friend, Stapaŋk
Friendly, Stapaŋkas
From, Katat
Full, Nak
Fur, Tèskun
Furniture, Anïanta
Give, Lakïö
Go/Goes, Ŝïl/Ŝïltuŝ
a god, Pèlatal
Gone, Ganït
Good, Luk
Grass, Puaŝa
Great, Ïpalun
Hair, Yaŝö
Hand, Töŋ
Have, stèk
Help, Gö
Here, Mèl
Hill, Pasït
Home, Gak
Horn, Tsakèn
Horrible, Èþöbèt
Horse, Lakè
House, Pagal
How, Klï
Hunt, Nast
Ice, Kamu
If, Latïö
important, Katö Ïpalu
In, Pala
Island, Naskun
Is/Be, Las
It/a, Muz
Job, Sutal
Jump, Kimta
Just, Mïatal
Kill, Tsuŋk
Know, Ŝauk
Knowledge, Ak Ŝauk
Lake, Pant
Land / Earth, Mala
Large, Kalan
Leave, Tsïmauŝ
Learn, Aŝpaŋk
Less, Aŝï
Let, Skauska
Light, Ŝaï
Like, Sauk
Long, Sakïa
Love, Saŋ
Man, Askun
Many, Tsaŋkö
Maybe, Ŝïkuŋ
Meat, Akïust
Meet, Bal
Method / Way, Klï
Miracle, Alakö
Moon, Pïk
Most, Katö
Mother, Aðal
Mountain, Kazatal
Mouth, Čèþ
Move, Skaŋkö
My, Kèþ
to Name, Akèl
need, Ŝpukè
Never, Ŝpèlat
New, Laŝpö
Next, staŋ
Night, Skïs
No / Not, Sïk / Ŝï
North, Köstèn
Now, Pèt
Ocean, Bèyö
Of, Katat
old, èþïkït
On, Upat
Only, Patsuk
Or, Stuk
Our, Kès / Ŝïð
Other, Akat
Out, Bïl
Own, Skalat
Parent, Kaðaŋk
Part, uŋgèþöt
People, kèþuŋ
to Permmit, Ðèg
Person, Kèt
Place, Čïkèt
Poor, Sïk
Pray, Maŋkït
Private, Kasïk
Productive, Maŝpö
Property, Skïtal
Public, Ŝusatïkö
Put, Ŝèkat
Rabbit, Mïklan
reason, Ŝatïa
Receive, makïn
Red, Paŝö
rest, Kït
Return, Ŝöŋkès
Revenge, Maðuŋ
Rich, Skagïm
Right, Kasö
River, kèŝ
Rock, Köz
Run, ÈÞuŋ
Safe, Ksè
same, öŋaŝïö
Say, Bala
See, klaka
seem, skïkö
Sensation, Lïstalka
Shadow, Gaŝput
Should, Panustït
Short, Aksa
Since, Lïmïk
Sing, Kaltulamït
Skin, Ŝpuk
Sky, kuï
Sleep, Ŝöskö
Small, Put/Lamè
Smooth, ökapö
Snake, Tuŋ
Song, Ŝöŋsèl
South, Skïnat
Snake, Tsuŋ
Snow, Matat
Spear, Čït
Specific, Suŋkïn
stay, skuka
Steal, Tsant
Stop, Skap
Store/Market, Pïlut
Stream, Puktïŝ
Such, kïak
Sun, Skïu
Tail, Kaŝèn
Than, Kïn
That, Ðè
The, Ak/Ay
Their, Stïput
There, Tsuŋ
Therefore, Suk
They, Kïap
Thing, Muŝ
Think, Ŝatupö
This, Ðè
Throw, Èþu
till, tsak
Time, Skasïkö
To, Èþ
Tongue, Vuŋ
Trade, Katu
Tree, Ta
Tribe, èŋkïp
Truth, Tènat
try, Ŝöŋèk
Under, Ŝïkasut
Unjust, Sukïèt
Up, Kaŝuŝ
Use, Aŝïl
Valley, Naŝïö
Village, Pöŋgalö
Wait, Nakuk
Walk, Kaskun
Want, Gal
Warrior, Kösïk
Water, klau
We/Us, Buŋ / Ŝïð
West, Kèsïk
Week, Pusïkö
What, Laŝp
When, Čað
Where, At
Which, Suŋk
While, skaŋ
White, suku
Who, kïŋ
Why, Ŝak
With, Aku
Widow, Tsèþuŋk
Woman, Kïš
to Work, Aŝpökö
Work, Ŝpökö
Worker, Ŝpökïm
World, Malaïpö
wrong, Ïŝèpa
Year, Ïĉaskö
Yes, umö
You, Ŝul
You (plural), Buŋ
young, Ïpèkï
Your, Ŝulut
1, Mïza
2, Pazï
3, Tuzu
4, Kïza
5, Čaza
6, Muzï
7, Ïzu
8, Kazu
9, Buza
10, Bïzï
12, Muka
25, ČaPaBï
50, ČaBï
75, ČaYïBï
100, Mïzaŋk
144, KïKïBï Gèŋ Mïzaŋk
500, Čazaŋk
1000, Mïzabïŋk
Enough, Èku
